-1;"Spinat ist eklig.   Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet."
-1;"Früchte können schon früher abgenommen werden und im Container reifen.   Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet."
1;"Süße Früchte sind lecker.   Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet."
#;
Partei_kurz:;"TBC"
Partei_lang:;"Tradionelle Bundesdeutsche Citronenpartei"
Partei_Beschreibung:;"Deutsche, kauft deutsche Zitronen! - Gelb, saftig, sauer - ideal um zum Lachen in den Keller zu gehen. &#8203; &#8205; &#8206; <span data-filterid='&#8203; &#8205; &#8206;' data-email000000='kontakt@die-citronen.ca'></span>"
Partei_URL:;"https://www.die-citronen.ca"
Partei_Bild:;"data/tbc2.jpg"
1;Gelb ist eindeutig die beste Farbe.
1;Runde Früchte haben die beste Form!
-1;Die Schale muss nicht mitgegessen werden.
-1;Spinat ist kein gesundes Essen.
-1;Früchte können gern schon frühzeitig abgenommen werden.
-1;Süße Früchte sind für kleine Mädchen. Echte Männer mögen Zitronen!
#
Partei_kurz:;"Neutrale"
Partei_lang:;"Neutrale Partei"
Partei_Beschreibung:;"&#x1F464; &#8203;"
Partei_URL:;"http://www.neutrale-partei.np"
Partei_Bild:;"data/egal2.jpg"
0;Ist uns egal.
0;Ist uns egal.
0;Ist uns egal.
0;Ist uns egal.
0;Ist uns egal.
0;Ist uns egal.

